event_id,sipm0,sipm1,sipm2,sipm3,sipm4,sipm5,sipm6,sipm7,sipm8,sipm9,sipm10,sipm11,sipm12,sipm13,sipm14,sipm15,x(mm),y(mm),z(mm),LCE (%)
0,3479,4120,5205,5424,3559,4268,6934,7010,3500,3865,4923,5185,3237,3526,3839,3897,-7.93607,15.4856,7.5,47.9807
1,3307,3560,4049,4058,3544,4148,5704,5265,3691,4478,7132,6182,3444,3981,4790,4758,3.98926,12.6327,7.5,48.0607
2,7285,6826,4288,3575,6675,6272,4221,3623,4343,4389,3599,3481,3526,3600,3361,3191,-15.867,-15.9606,7.5,48.17
3,3391,3411,3263,3203,3991,3808,3497,3323,6128,4638,3851,3488,11723,6072,4049,3506,28.5686,-29.5161,7.5,47.5613
4,3159,3457,3723,3755,3384,3667,4248,5159,3418,3928,5317,9038,3463,3658,5165,7572,11.8887,28.2755,7.5,48.074
5,3679,4063,4732,4150,3828,5003,6871,5109,3763,4728,6232,4717,3487,3746,4137,3915,-2.14364,6.80253,7.5,48.1067
6,3864,3628,3310,3129,5126,4242,3609,3373,8717,5567,4025,3467,7352,5352,3859,3420,11.986,-23.4958,7.5,48.0267
7,3902,5032,6163,4753,4027,5488,7318,4903,3665,4215,4502,4022,3337,3628,3801,3559,-11.5489,5.10683,7.5,48.21
8,5587,4549,3810,3281,8756,5520,3924,3374,6525,4810,3748,3299,4180,3910,3569,3276,-4.86103,-24.3326,7.5,48.0787
9,3202,3284,3357,3376,3370,3475,3918,4094,3446,3869,5003,6360,3529,4071,6031,11311,24.2416,31.7487,7.5,47.7973
10,4418,3997,3626,3224,7037,4704,3732,3352,8621,5143,3844,3373,5317,4360,3663,3371,2.85585,-31.7207,7.5,47.8547
11,5336,4809,3905,3456,7704,6432,4098,3481,5752,5055,3834,3401,4080,4024,3472,3283,-5.53641,-18.3949,7.5,48.0813
12,3121,3241,3515,3384,3442,3581,3939,3880,3562,4111,5223,5251,3714,4937,8776,8133,27.5698,13.5152,7.5,47.8733
13,5065,7493,6190,4253,4731,6112,5328,4039,3846,4111,3874,3544,3292,3464,3478,3302,-18.1141,-3.56446,7.5,48.0813
14,8952,6067,4070,3387,7791,5330,3964,3365,4547,4108,3576,3170,3607,3549,3331,3114,-17.145,-23.7351,7.5,47.952
15,6336,9257,5881,4025,4656,5351,4359,3753,3802,3884,3759,3392,3298,3484,3304,3239,-27.3912,-7.42641,7.5,47.8533
16,5584,8079,5866,4207,4683,6070,5005,3912,3742,4012,3757,3493,3381,3427,3349,3266,-20.392,-5.78574,7.5,47.8887
17,3351,3359,3418,3295,3625,3911,3920,3560,4315,5352,5231,4187,4945,7673,7327,4747,22.9979,-0.830529,7.5,48.144
18,6637,6487,4262,3454,6702,6670,4325,3548,4376,4365,3797,3411,3669,3591,3308,3205,-14.077,-15.0388,7.5,47.8713
19,3412,3513,3288,3169,3960,3887,3602,3223,5550,5236,4104,3498,9198,8076,4506,3595,32.9414,-16.8095,7.5,47.878
20,4679,4172,3560,3247,7499,4944,3774,3421,8365,5122,3811,3491,5077,4227,3746,3230,1.36768,-27.7324,7.5,48.2433
21,9235,5841,4052,3376,7749,5312,3957,3413,4401,4109,3664,3206,3570,3508,3309,3173,-17.5566,-24.2825,7.5,47.9167
22,3321,3567,3392,3166,3998,4058,3740,3280,5392,5900,4261,3461,7275,8413,4882,3785,21.6307,-12.0961,7.5,47.9273
23,3383,3388,3253,3223,4074,3907,3504,3240,6548,4879,3819,3459,11402,6159,3996,3389,24.4829,-28.0738,7.5,47.7487
24,4855,7929,7782,4787,4207,5000,5031,4104,3575,3776,3743,3640,3274,3305,3473,3374,-28.8168,-0.175334,7.5,47.9033
25,3361,3377,3274,3150,4135,3916,3498,3268,6583,4916,4026,3379,11384,5913,4015,3461,24.1292,-29.9021,7.5,47.7707
26,5912,8394,5623,3976,4848,6174,4766,3944,3860,4114,3665,3340,3385,3533,3383,3225,-20.5746,-7.39092,7.5,48.0947
27,6147,8362,5462,3904,5015,6208,4648,3795,3923,3991,3789,3493,3389,3329,3444,3176,-20.3179,-8.52926,7.5,48.05
28,3291,3315,3367,3238,3602,3893,3804,3672,4134,4997,5116,4361,4696,7687,7776,4779,31.6574,0.067648,7.5,47.8187
29,3333,3848,5021,5929,3503,4122,6169,8077,3309,3723,4737,5599,3190,3553,3785,4033,-7.56085,19.7963,7.5,47.954
30,3490,3488,3209,3103,4084,4088,3601,3362,5792,5849,4270,3665,7615,7863,4818,3615,20.7851,-13.712,7.5,47.9413
31,4075,5750,7976,5522,3897,4843,6508,5059,3357,3852,3984,3869,3149,3312,3346,3321,-18.9738,6.88124,7.5,47.88
32,10915,6591,4000,3527,6330,4909,3876,3345,4071,3920,3540,3303,3455,3404,3250,3206,-25.3298,-23.3273,7.5,47.7613
33,3499,3947,5535,8777,3545,3870,5211,8309,3295,3624,4021,4562,3179,3342,3541,3523,-15.5887,31.7378,7.5,47.8533
34,3386,4019,5847,8854,3489,3895,5322,7776,3379,3554,4047,4554,3024,3310,3519,3546,-16.4666,23.5818,7.5,47.6807
35,3497,3356,3341,3202,3853,4074,3724,3426,5194,6157,4510,3648,6488,8337,5234,3767,20.7044,-9.94428,7.5,47.872
36,3425,3889,6080,11834,3379,3803,4714,6053,3297,3506,3962,4018,3228,3150,3505,3444,-31.6059,28.2319,7.5,47.5247
