event_id,sipm0,sipm1,sipm2,sipm3,sipm4,sipm5,sipm6,sipm7,sipm8,sipm9,sipm10,sipm11,sipm12,sipm13,sipm14,sipm15,x(mm),y(mm),z(mm),LCE (%)
0,18,15,30,20,17,14,17,20,11,13,19,19,14,11,4,9,-25.8657,8.24258,3.5,50.2
1,13,12,15,14,15,14,12,5,23,29,18,20,21,18,13,11,11.2699,-10.669,3.5,50.6
2,10,22,21,29,9,5,20,17,17,8,18,12,7,19,13,10,-21.7742,30.2292,3.5,47.4
3,9,20,21,34,11,6,20,13,13,11,14,17,10,7,15,9,-18.68,22.0143,3.5,46
4,17,14,20,13,24,23,13,14,23,10,17,9,25,12,13,9,-1.10786,-34.521,3.5,51.2
5,17,11,13,14,6,15,11,21,10,15,17,13,10,18,12,11,-9.55749,33.2264,3.5,42.8
6,18,16,17,18,8,22,16,18,19,13,14,13,16,11,13,13,-18.3319,12.3987,3.5,49
7,13,10,14,11,17,13,17,12,14,15,10,33,14,7,23,19,10.8121,17.8229,3.5,48.4
8,21,12,12,18,18,13,9,12,19,16,15,15,19,11,18,9,5.7499,-10.3533,3.5,47.4
9,7,12,10,3,16,14,16,7,23,23,20,16,22,25,15,11,11.7165,-6.12141,3.5,48
10,12,9,17,13,12,22,16,13,26,18,17,17,16,12,18,11,0.745919,-9.71832,3.5,49.8
11,8,15,18,26,9,10,17,23,8,13,18,18,10,11,3,12,-31.5299,18.8456,3.5,43.8
12,25,26,14,16,21,15,16,19,24,19,12,11,14,11,10,10,-29.8536,-20.3515,3.5,52.6
13,18,22,22,15,11,24,15,15,6,13,6,10,14,14,9,15,-30.8632,3.72992,3.5,45.8
14,15,25,28,20,12,15,18,9,23,5,12,6,7,18,10,12,-34.5,-0.680124,3.5,47
15,9,15,17,12,15,12,15,11,20,26,15,10,12,21,12,16,9.17589,-8.35665,3.5,47.6
16,9,8,11,6,17,13,13,10,18,18,11,18,25,22,14,10,10.1062,-12.3028,3.5,44.6
17,11,12,13,9,11,13,12,10,16,21,15,13,20,12,25,10,7.38735,-4.72552,3.5,44.6
18,12,17,21,16,7,10,20,14,18,17,13,27,12,21,11,9,-0.803279,8.05057,3.5,49
19,32,32,11,14,33,18,8,10,12,17,10,9,8,14,15,8,-23.1755,-29.2113,3.5,50.2
20,9,14,9,7,13,16,11,11,11,16,18,20,13,21,15,22,23.6891,26.9098,3.5,45.2
21,17,18,16,10,15,12,10,13,21,12,17,18,15,16,26,11,-2.14353,-3.69191,3.5,49.4
22,11,23,18,14,12,21,20,13,18,11,15,23,12,14,5,11,-3.13843,12.4318,3.5,48.2
23,13,9,12,9,22,13,11,4,16,22,6,15,11,17,11,10,5.03904,-28.5359,3.5,40.2
24,8,13,10,14,13,14,10,13,15,13,14,15,21,29,12,13,26.7725,-9.87608,3.5,45.4
25,17,19,18,17,15,12,15,22,14,12,14,19,8,7,11,14,-5.45015,30.8621,3.5,46.8
26,9,12,11,7,13,15,17,16,17,22,19,11,25,24,28,10,19.559,-10.4898,3.5,51.2
27,15,13,9,16,12,10,20,20,10,17,15,25,11,12,18,16,6.9229,23.2411,3.5,47.8
28,13,15,8,9,16,21,15,18,22,19,16,15,14,10,21,11,3.53793,-16.9099,3.5,48.6
29,16,19,15,15,20,16,24,11,26,9,14,15,13,20,16,6,-7.86408,-14.7079,3.5,51
30,12,15,10,12,10,16,16,20,18,12,27,22,8,10,22,18,21.8922,26.0453,3.5,49.6
31,6,10,24,26,8,12,32,20,10,13,18,17,11,10,12,11,-15.9884,20.9534,3.5,48
32,12,13,14,16,14,10,14,13,14,13,10,9,25,21,14,18,27.4189,-9.69903,3.5,46
33,15,17,15,12,13,19,12,13,12,18,24,20,10,15,15,14,6.2572,-5.29465,3.5,48.8
34,12,7,13,9,9,16,8,14,20,13,13,14,27,27,14,9,25.4839,-14.7673,3.5,45
35,5,13,13,13,15,11,11,9,15,19,21,12,18,13,18,15,11.2711,0.483,3.5,44.2
36,11,9,11,15,15,16,15,10,12,17,23,15,19,16,23,18,28.3338,-2.16626,3.5,49
37,17,18,17,6,25,24,24,8,14,13,11,12,9,18,15,13,-8.17295,-10.5577,3.5,48.8
38,16,14,10,10,16,13,16,11,25,30,14,7,11,10,9,10,4.51759,-25.0923,3.5,44.4
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.7251,34.9431,3.5,0
40,29,15,18,11,25,28,9,14,19,10,9,9,15,14,16,16,-16.4861,-29.5806,3.5,51.4
41,21,20,20,14,13,21,23,20,15,18,10,13,15,5,15,10,-27.0882,-6.47718,3.5,50.6
42,27,17,18,12,13,18,16,6,17,13,15,17,13,12,12,14,-33.3954,-20.2895,3.5,48
43,5,17,16,15,9,13,7,21,12,10,11,25,21,18,26,29,19.4639,25.4889,3.5,51
44,17,19,24,21,18,9,12,13,21,14,10,9,11,12,14,16,-20.1811,5.22058,3.5,48
45,35,18,14,9,19,17,7,12,17,16,14,12,18,14,14,14,-20.7449,-20.9015,3.5,50
46,8,15,11,10,10,10,17,11,24,22,11,9,27,26,17,12,34.0561,-17.3663,3.5,48
47,12,10,17,12,16,24,26,10,16,17,20,14,17,14,23,12,9.71351,-0.367278,3.5,52
48,6,12,10,12,14,12,27,14,10,16,15,23,13,14,14,29,31.8225,34.4678,3.5,48.2
49,12,14,16,21,13,11,19,13,14,14,16,24,8,18,16,12,1.28767,32.1482,3.5,48.2
50,18,12,9,8,16,12,14,7,19,15,8,8,29,21,20,14,23.6237,-18.254,3.5,46
51,15,12,23,23,10,17,16,15,12,12,15,14,8,11,18,10,-23.2583,30.9602,3.5,46.2
52,33,15,14,13,23,13,17,14,10,13,15,10,14,9,14,9,-16.8915,-27.4575,3.5,47.2
53,16,17,17,19,12,14,21,23,7,13,12,12,10,13,17,12,-12.3882,23.1132,3.5,47
54,12,13,13,11,22,24,18,13,16,23,14,14,12,17,10,18,-5.36368,-4.67205,3.5,50
55,13,19,4,8,15,14,15,14,24,25,25,15,21,22,10,10,19.9346,-33.5415,3.5,50.8
56,12,12,21,20,11,11,15,16,11,8,21,16,17,14,21,19,7.48632,19.7586,3.5,49
57,14,9,11,19,16,13,16,27,12,18,15,17,18,15,13,16,2.89776,32.2577,3.5,49.8
58,7,14,10,10,13,17,7,14,23,18,18,18,24,21,22,13,22.7004,-22.0752,3.5,49.8
59,13,14,11,21,14,11,19,21,15,24,11,14,15,16,18,14,13.8853,-8.25464,3.5,50.2
60,14,15,6,12,7,13,20,13,21,20,16,16,11,24,24,12,26.7224,-1.65134,3.5,48.8
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.9994,16.7655,3.5,0
62,14,11,7,20,12,10,17,27,13,16,15,27,9,20,16,14,0.842077,19.6665,3.5,49.6
63,19,11,17,13,16,12,17,16,19,14,22,12,20,16,8,8,-17.8093,-2.39249,3.5,48
64,19,28,18,19,28,21,17,20,12,14,11,13,16,13,10,6,-17.1042,-18.1022,3.5,53
65,20,3,9,14,7,11,13,13,17,15,16,24,16,18,20,21,17.7431,33.7242,3.5,47.4
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.4075,34.915,3.5,0
67,30,18,12,13,27,15,11,10,16,13,17,14,15,16,10,7,-32.4571,-20.1484,3.5,48.8
68,5,11,20,25,9,17,16,23,14,11,11,16,7,13,9,15,-29.8627,26.5663,3.5,44.4
69,15,14,14,11,12,17,20,23,11,15,19,29,14,16,10,26,3.60078,17.5311,3.5,53.2
70,13,15,10,6,15,13,16,11,15,12,13,13,33,24,13,7,25.5857,-23.2278,3.5,45.8
71,15,16,20,18,4,14,23,26,18,10,11,17,8,15,7,14,-5.00999,23.1432,3.5,47.2
72,11,10,11,10,15,10,7,10,20,21,15,19,34,13,13,7,28.1716,-32.5806,3.5,45.2
73,9,18,20,14,13,12,11,11,14,13,26,22,16,13,22,10,11.1056,8.2415,3.5,48.8
74,14,14,15,9,17,22,14,13,10,21,17,25,12,15,9,11,-13.7341,1.46675,3.5,47.6
75,23,13,9,12,25,15,12,8,13,13,13,14,14,12,9,16,-14.1753,-30.9351,3.5,44.2
76,18,10,16,9,17,9,19,11,24,14,10,11,17,22,18,18,14.2533,-28.3921,3.5,48.6
77,23,19,16,12,13,16,19,15,10,13,18,5,14,15,15,23,-22.0961,-5.50163,3.5,49.2
78,18,9,15,13,23,17,13,11,27,20,9,10,11,14,8,8,-4.21274,-26.7248,3.5,45.2
79,14,14,16,4,11,7,14,10,10,19,16,11,15,25,15,19,29.5536,-1.76056,3.5,44
80,14,11,14,9,11,11,25,9,16,12,22,13,9,19,26,18,32.1877,11.6327,3.5,47.8
81,16,9,16,9,16,8,16,8,16,24,18,17,19,19,15,18,25.126,-9.69904,3.5,48.8
82,14,19,7,7,22,20,20,18,15,21,11,10,11,17,13,6,0.244476,-14.4229,3.5,46.2
83,10,7,7,11,8,15,21,15,16,18,29,22,4,18,6,21,1.80453,20.0366,3.5,45.6
84,14,12,15,12,10,17,13,17,19,12,20,25,20,18,20,23,20.5224,13.2686,3.5,53.4
85,32,27,13,17,17,15,10,8,18,12,10,10,11,11,13,11,-28.2443,-9.89722,3.5,47
86,26,20,15,14,17,18,16,16,12,17,18,10,14,8,12,15,-31.3143,-5.98918,3.5,49.6
87,14,13,9,8,14,20,14,23,12,10,22,20,12,15,14,15,0.603774,24.6393,3.5,47
88,25,20,14,15,34,19,9,11,14,9,8,14,10,6,7,6,-15.77,-18.0444,3.5,44.2
89,7,21,22,22,9,13,8,22,18,11,11,15,17,14,20,13,-0.66641,25.4433,3.5,48.6
90,15,15,11,9,20,10,10,15,22,16,20,8,23,14,10,9,0.810522,-33.8356,3.5,45.4
91,15,6,11,12,12,12,12,14,13,16,13,23,15,15,19,25,15.1602,32.6444,3.5,46.6
92,5,16,8,23,13,10,20,25,8,14,21,18,7,16,12,18,-10.6744,31.0738,3.5,46.8
93,10,8,12,18,15,9,9,10,10,21,21,20,8,13,22,20,25.5066,5.38407,3.5,45.2
94,9,12,10,6,12,18,15,10,13,11,24,17,17,31,26,15,26.0803,1.43329,3.5,49.2
95,12,14,23,26,12,13,13,20,14,20,9,14,9,12,17,12,-26.3467,21.0864,3.5,48
96,10,14,19,11,17,18,18,21,9,23,18,25,16,9,12,24,8.74201,27.5365,3.5,52.8
97,9,15,17,25,6,16,10,31,14,20,9,13,13,9,7,7,-29.6262,29.4498,3.5,44.2
98,15,5,14,13,15,17,14,13,11,17,21,14,12,15,21,11,11.2845,6.1244,3.5,45.6
99,12,13,17,9,10,15,9,19,5,15,33,22,13,11,8,16,12.3046,12.4926,3.5,45.4
100,17,13,17,24,5,14,16,23,10,13,17,17,14,7,13,8,-12.8904,33.8498,3.5,45.6
101,14,14,18,12,11,9,8,9,14,14,18,18,8,24,29,27,29.1073,5.5296,3.5,49.4
102,9,13,8,8,12,13,10,8,15,20,13,9,36,21,12,9,30.6708,-32.9068,3.5,43.2
103,11,6,10,13,10,13,12,14,20,9,12,6,28,21,16,21,29.6105,-22.4439,3.5,44.4
104,18,22,14,12,26,20,14,15,24,15,11,7,15,9,11,8,-9.36184,-8.99714,3.5,48.2
105,9,19,8,7,18,30,10,19,15,23,20,18,12,17,14,12,1.15218,-19.8635,3.5,50.2
106,12,21,26,18,10,11,21,21,14,18,13,18,8,10,18,6,-34.7266,11.0793,3.5,49
107,5,8,16,12,15,11,20,16,10,18,18,20,16,14,26,19,13.5146,17.8691,3.5,48.8
108,10,10,11,12,18,6,13,14,17,12,16,26,12,13,22,39,33.2724,28.4216,3.5,50.2
109,28,19,10,17,33,23,9,13,13,19,14,12,13,19,13,10,-11.8745,-23.9869,3.5,53
110,18,25,15,21,22,17,12,9,12,17,15,14,16,14,6,8,-15.9045,-14.7409,3.5,48.2
111,14,12,12,10,11,11,12,11,10,19,14,10,17,26,16,14,21.1849,-9.62759,3.5,43.8
112,13,12,15,10,15,10,13,8,6,10,17,12,14,24,24,19,23.3928,4.0452,3.5,44.4
113,15,8,15,26,8,15,21,29,11,10,18,24,12,7,17,11,-6.68188,23.345,3.5,49.4
114,17,14,18,23,13,11,16,11,11,13,17,11,12,17,14,15,-28.4658,21.7594,3.5,46.6
115,17,20,15,8,26,19,14,6,17,19,11,8,18,11,14,9,-5.45123,-30.0528,3.5,46.4
116,12,13,20,17,6,13,16,28,10,14,13,22,10,13,17,6,-12.4178,23.5939,3.5,46
117,12,9,15,23,13,18,23,26,16,17,15,19,8,11,14,13,-10.4413,13.7132,3.5,50.4
118,6,12,11,10,14,7,15,10,22,19,14,13,29,24,15,15,20.1769,-31.3961,3.5,47.2
119,15,11,19,21,12,18,12,15,12,22,20,22,11,16,14,16,-0.748888,6.55199,3.5,51.2
120,11,14,13,13,12,13,16,12,22,19,19,20,11,15,10,15,0.490283,10.869,3.5,47
121,7,12,21,19,11,14,27,19,11,23,16,24,8,10,10,12,-6.81078,14.812,3.5,48.8
122,17,13,16,27,10,22,18,21,12,10,10,13,12,10,8,16,-27.9195,17.0476,3.5,47
123,16,15,29,31,14,13,13,23,10,10,9,9,9,13,16,21,-21.84,27.6884,3.5,50.2
124,7,8,20,12,15,9,10,12,10,20,26,21,9,15,10,30,15.6824,18.713,3.5,46.8
125,12,14,9,7,15,21,9,16,6,12,18,11,12,18,17,31,22.1935,34.5844,3.5,45.6
126,10,3,12,9,8,14,15,9,11,8,26,34,13,11,13,22,16.1753,34.7889,3.5,43.6
127,11,8,10,24,7,13,13,27,11,13,19,18,14,10,14,22,5.93644,18.9132,3.5,46.8
128,16,15,10,8,23,18,8,18,19,15,17,9,12,16,13,8,-4.82959,-34.017,3.5,45
129,9,15,20,15,19,17,14,12,15,12,16,14,17,18,13,16,1.95914,-7.51241,3.5,48.4
130,12,17,15,13,17,14,11,13,23,24,12,12,17,18,17,15,11.9882,-18.8848,3.5,50
131,26,23,14,9,29,14,9,20,12,17,9,10,16,9,18,9,-17.554,-15.0181,3.5,48.8
132,15,17,7,12,17,20,15,12,7,25,16,12,14,22,15,16,22.4492,-6.20995,3.5,48.4
133,8,10,19,15,15,17,16,13,10,12,21,20,14,11,27,19,22.5261,9.78186,3.5,49.4
134,10,11,24,24,12,19,20,16,10,7,12,17,15,11,15,10,-21.4166,17.3314,3.5,46.6
135,9,18,20,22,6,12,20,23,8,21,20,17,12,10,9,18,-15.0248,28.1281,3.5,49
136,12,16,11,12,20,16,10,9,15,20,16,13,17,25,11,14,9.80056,-6.19136,3.5,47.4
137,27,19,18,11,21,13,14,15,11,8,12,14,15,13,12,12,-29.7263,-27.695,3.5,47
