event_id,sipm0,sipm1,sipm2,sipm3,sipm4,sipm5,sipm6,sipm7,sipm8,sipm9,sipm10,sipm11,sipm12,sipm13,sipm14,sipm15,x(mm),y(mm),z(mm),LCE (%)
0,37,78,305,93,47,45,54,45,39,35,38,54,32,34,46,34,-25.8657,8.24258,17.5,50.8
1,34,37,30,39,36,46,37,38,46,49,80,59,46,72,273,84,21.9117,9.10561,17.5,50.3
2,37,54,46,33,30,27,50,53,35,41,76,63,37,55,202,167,23.3481,14.4715,17.5,50.3
3,34,37,36,36,45,38,36,32,120,56,38,43,296,73,31,30,21.0108,-29.2275,17.5,49.05
4,33,42,31,44,34,42,63,58,31,62,250,85,47,47,74,64,7.71977,10.2941,17.5,50.35
5,48,51,24,46,100,131,42,51,108,115,45,44,58,32,54,42,-0.616328,-14.4437,17.5,49.55
6,36,30,41,29,47,33,41,36,65,63,37,38,290,67,33,34,30.0647,-31.2975,17.5,46
7,36,39,104,262,38,31,70,102,33,41,41,48,45,26,35,31,-21.8903,21.0077,17.5,49.1
8,36,37,45,38,43,43,48,30,51,95,46,42,85,268,51,41,21.5525,-10.7975,17.5,49.95
9,39,41,41,37,39,39,47,48,44,68,257,66,41,54,88,71,10.3946,6.868,17.5,51
10,35,42,96,315,47,36,66,83,38,32,34,42,30,42,37,29,-22.6792,22.54,17.5,50.2
11,36,37,55,137,36,34,61,287,46,35,42,68,36,44,45,39,-11.9183,28.042,17.5,51.9
12,119,50,47,55,221,58,47,29,62,52,43,42,38,46,47,32,-14.0958,-29.0539,17.5,49.4
13,39,34,83,289,43,48,53,62,28,41,53,40,31,45,48,30,-34.8594,25.1296,17.5,48.35
14,38,39,37,39,54,54,44,31,54,61,42,45,75,285,61,36,25.6624,-10.3176,17.5,49.75
15,38,41,44,54,52,39,102,131,41,38,97,120,27,38,51,58,-0.0588486,18.1821,17.5,48.55
16,93,273,76,39,69,57,46,43,43,36,33,37,35,41,38,42,-27.7595,-8.31457,17.5,50.05
17,28,56,55,45,44,86,248,74,42,62,85,52,38,43,44,46,-4.10565,5.22924,17.5,52.4
18,40,35,36,29,46,45,20,44,66,67,37,39,251,119,48,35,27.4323,-18.5509,17.5,47.85
19,73,88,49,35,86,216,49,45,51,46,47,37,37,36,41,48,-12.9854,-12.1883,17.5,49.2
20,98,50,41,38,243,49,38,39,62,48,34,28,45,51,48,34,-11.0263,-33.0613,17.5,47.3
21,44,88,71,53,50,160,116,43,43,37,46,44,38,24,50,35,-13.7917,-0.847866,17.5,47.1
22,234,140,52,31,64,52,45,51,34,42,39,30,31,34,42,32,-29.2273,-17.7083,17.5,47.65
23,42,38,33,33,47,41,34,54,56,64,36,23,90,304,61,53,27.8742,-9.37574,17.5,50.45
24,35,41,36,38,47,47,51,44,43,45,48,49,48,47,173,170,28.9092,15.3473,17.5,48.1
25,39,34,40,36,33,30,44,39,40,36,53,62,45,47,78,318,25.7205,29.3128,17.5,48.7
26,38,39,34,35,46,34,49,39,88,58,50,40,159,162,55,26,21.0208,-16.4877,17.5,47.6
27,36,49,41,30,28,49,36,36,38,44,52,79,35,37,83,347,25.9608,24.3599,17.5,51
28,32,37,41,29,48,45,55,40,76,96,59,39,113,158,53,37,17.9848,-14.4875,17.5,47.9
29,41,70,232,70,39,58,109,64,46,43,31,31,47,46,36,46,-19.3976,7.89285,17.5,50.45
30,41,44,40,33,43,59,41,41,72,93,55,31,139,145,52,40,19.1536,-15.4588,17.5,48.45
31,44,49,40,49,154,68,42,36,158,54,50,37,60,45,33,31,0.164722,-23.1147,17.5,47.5
32,46,47,45,40,77,82,47,51,146,120,52,33,72,46,36,34,3.11601,-16.0658,17.5,48.7
33,33,34,39,75,36,40,60,240,35,42,46,89,38,53,46,48,-6.14197,30.8843,17.5,47.7
