event_id,sipm0,sipm1,sipm2,sipm3,sipm4,sipm5,sipm6,sipm7,sipm8,sipm9,sipm10,sipm11,sipm12,sipm13,sipm14,sipm15,x(mm),y(mm),z(mm),LCE (%)
0,6,1,6,2,2,5,3,6,3,4,3,3,1,1,3,4,-25.8657,8.24258,-22.5,53
1,3,1,2,5,3,6,1,1,4,3,2,1,1,3,2,1,-17.4274,-7.43131,-22.5,39
2,5,3,0,4,2,4,7,7,2,2,2,2,0,3,6,6,3.87563,16.1258,-22.5,55
3,3,2,4,6,5,6,2,1,4,3,1,1,3,1,3,4,0.208326,14.2838,-22.5,49
4,3,7,5,1,5,2,5,3,3,0,3,0,1,3,5,3,-17.4252,7.95544,-22.5,49
5,2,3,2,4,2,2,2,2,6,6,4,5,0,4,2,2,-6.51592,8.67639,-22.5,48
6,1,5,5,4,4,5,2,4,3,3,3,2,1,2,5,2,-23.8791,-12.5743,-22.5,51
7,0,2,6,3,6,2,8,1,6,1,4,4,1,1,4,5,-16.6404,20.5711,-22.5,54
8,3,4,3,3,4,1,2,1,3,4,2,0,3,5,2,0,18.0077,-29.2247,-22.5,40
9,3,4,4,5,5,2,2,3,2,1,2,1,5,2,1,2,-11.6921,16.0594,-22.5,44
10,3,2,2,4,4,3,1,2,0,4,1,1,4,2,6,2,5.42558,-31.6002,-22.5,41
11,3,3,3,1,3,4,5,2,3,4,8,1,2,3,2,1,3.60342,19.5521,-22.5,48
12,5,4,5,1,6,2,2,1,6,1,1,4,2,1,5,3,1.38814,-18.2632,-22.5,49
13,5,0,2,4,2,4,2,2,2,5,1,2,1,2,2,0,-25.1409,-27.5283,-22.5,36
14,2,4,2,3,4,2,6,2,4,2,4,2,2,4,2,0,5.4564,-15.5088,-22.5,45
15,5,1,0,0,4,4,2,3,5,3,5,5,3,1,3,1,8.23231,-31.7914,-22.5,45
16,2,5,4,0,2,1,1,3,5,1,4,2,4,1,3,3,22.0521,-11.6441,-22.5,41
17,5,9,4,5,1,4,2,0,3,2,2,1,0,7,3,4,-26.6109,-5.01124,-22.5,52
18,5,5,3,0,6,0,2,4,3,1,4,7,4,4,0,2,25.2029,-29.6523,-22.5,50
19,4,6,2,4,4,1,4,4,3,4,3,2,1,2,4,4,-17.4648,30.2923,-22.5,52
20,3,5,1,1,4,3,2,2,3,3,2,4,3,8,10,4,16.1466,11.3848,-22.5,58
21,3,2,4,2,1,0,4,4,5,1,5,1,5,2,2,1,32.1491,-15.3671,-22.5,42
22,2,3,3,6,4,6,0,1,3,3,1,4,1,1,3,2,-17.0967,-11.259,-22.5,43
23,2,2,1,1,2,3,1,5,3,5,3,3,2,1,3,0,18.3512,15.1261,-22.5,37
24,2,4,1,2,2,4,2,1,5,2,1,3,5,2,4,4,22.5156,-21.2237,-22.5,44
25,4,3,0,3,6,4,2,3,4,4,3,2,1,3,1,2,-26.8186,-24.0593,-22.5,45
26,4,4,1,1,2,3,2,3,2,6,1,6,1,4,3,2,-1.22809,-22.7961,-22.5,45
27,5,7,1,2,3,2,0,4,1,2,3,3,1,5,5,0,-28.8918,-15.8679,-22.5,44
28,5,4,2,9,2,0,0,4,4,4,1,3,2,4,3,5,-9.8898,29.2871,-22.5,52
29,1,2,3,6,6,2,4,3,2,3,5,0,0,7,2,3,-11.9323,-14.9636,-22.5,49
