event_id,sipm0,sipm1,sipm2,sipm3,sipm4,sipm5,sipm6,sipm7,sipm8,sipm9,sipm10,sipm11,sipm12,sipm13,sipm14,sipm15,x(mm),y(mm),z(mm),LCE (%)
0,2,5,20,4,4,3,2,2,0,2,2,4,1,1,3,1,-25.8657,8.24258,17.5,56
1,3,1,1,0,11,1,0,1,6,0,1,1,3,2,0,8,1.97365,-33.0013,17.5,39
2,2,0,1,1,1,3,4,1,6,6,11,5,1,2,0,2,1.80139,3.86153,17.5,46
3,1,2,7,3,2,4,11,4,2,2,1,4,0,0,3,4,-12.815,6.91108,17.5,50
4,6,8,5,1,5,3,6,0,3,3,2,0,2,1,2,3,-26.1962,-14.4522,17.5,50
5,3,7,5,3,0,2,11,7,1,5,4,2,1,3,3,4,-4.48203,12.1911,17.5,61
6,3,0,1,3,2,1,0,1,6,2,2,6,3,1,5,10,29.1634,21.1959,17.5,46
7,1,1,0,2,3,5,1,2,12,6,0,1,3,6,3,2,1.89558,-23.849,17.5,48
8,5,6,4,2,20,1,2,0,3,1,2,3,1,2,1,1,-9.6424,-22.9353,17.5,54
9,1,1,1,3,3,3,4,13,2,4,2,4,4,1,2,0,-5.64346,26.1072,17.5,48
10,4,1,3,0,1,4,5,2,4,4,18,5,0,2,3,1,5.78772,4.61239,17.5,57
11,3,4,3,2,2,3,0,2,2,3,0,1,9,7,2,2,24.453,-20.1851,17.5,45
12,5,6,1,3,6,3,3,1,8,3,2,1,2,4,0,2,8.86234,-31.9779,17.5,50
13,3,3,3,2,1,3,11,0,2,2,2,1,2,0,2,5,-11.103,2.29817,17.5,42
14,0,4,1,1,5,2,1,3,3,2,3,2,15,8,2,1,25.4495,-18.6993,17.5,53
15,10,14,2,2,2,3,1,1,0,3,2,0,1,2,1,2,-25.6132,-9.09319,17.5,46
16,3,2,6,5,2,4,9,4,4,0,1,1,3,5,0,2,-15.2034,6.82903,17.5,51
17,0,4,0,1,2,4,4,3,2,1,4,3,1,3,17,7,20.7438,9.80743,17.5,56
18,2,0,2,3,2,3,10,3,3,3,2,4,2,1,3,3,-9.43953,13.7408,17.5,46
19,2,0,0,3,3,0,2,1,0,4,2,3,5,13,7,0,33.4964,-9.07981,17.5,45
20,2,5,14,7,2,5,3,1,1,1,1,3,2,2,0,1,-19.6526,8.12109,17.5,50
21,2,2,2,5,1,2,3,11,1,1,2,6,0,2,3,4,-4.58246,18.6263,17.5,47
22,2,2,3,0,3,1,4,2,2,2,2,8,2,1,3,11,17.5588,19.384,17.5,48
23,2,6,7,2,6,3,4,2,1,1,3,3,3,2,1,2,-16.4198,5.93425,17.5,48
24,2,2,3,2,4,2,1,2,3,1,10,10,1,4,3,2,10.7954,13.8291,17.5,52
25,5,3,2,2,3,1,5,2,2,1,7,3,3,2,9,9,16.4779,12.791,17.5,59
26,2,5,2,3,3,4,2,3,19,6,2,1,4,2,1,1,7.04623,-20.9817,17.5,60
27,2,2,1,1,2,1,2,1,2,6,13,4,1,3,5,1,10.5219,7.38496,17.5,47
28,8,10,3,2,5,5,0,1,2,4,1,1,1,4,6,2,-17.2918,-16.7933,17.5,55
29,1,2,2,2,0,0,3,15,1,1,1,2,4,1,3,3,-7.32963,29.5142,17.5,41
30,1,0,1,1,1,1,2,2,1,1,6,6,3,3,3,10,17.6997,28.0895,17.5,42
31,2,1,2,2,1,0,4,2,4,4,9,3,1,3,2,2,11.9474,0.754367,17.5,42
32,17,5,3,2,2,2,2,0,2,0,3,1,2,2,1,1,-22.35,-32.8689,17.5,45
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.79261,-34.9768,17.5,0
34,3,1,4,2,1,3,1,2,4,2,2,2,9,5,2,1,22.1746,-20.2643,17.5,44
35,6,7,5,7,7,4,5,3,1,1,4,1,1,1,0,0,-19.9868,-16.6915,17.5,53
36,1,3,2,3,2,1,3,4,2,3,3,1,3,11,1,4,34.7146,-10.5633,17.5,47
37,7,3,3,1,6,10,2,4,2,3,4,1,4,2,3,1,-7.68495,-13.0069,17.5,56
38,2,2,1,6,2,4,3,8,1,3,2,3,4,2,0,3,-14.6347,34.3361,17.5,46
39,0,1,2,1,3,5,2,2,2,3,4,2,3,3,12,6,31.8106,15.6335,17.5,51
40,2,0,0,3,0,0,1,1,2,3,4,5,0,5,13,3,27.4619,1.5575,17.5,42
41,2,3,10,3,4,2,6,3,1,2,5,2,0,0,0,2,-19.6274,7.44179,17.5,45
42,1,2,2,2,2,2,0,8,1,2,5,12,0,5,1,3,0.906676,33.7751,17.5,48
43,1,2,3,4,1,7,10,6,1,2,4,3,2,4,2,2,-6.11594,1.52173,17.5,54
44,1,5,3,0,1,1,3,2,2,2,2,5,1,2,2,10,24.9459,23.0022,17.5,42
45,2,1,5,16,2,2,2,5,0,2,3,3,1,2,0,2,-28.1698,19.2696,17.5,48
46,2,1,5,10,0,1,2,5,0,2,4,1,2,3,2,1,-25.8083,15.5556,17.5,41
47,2,1,3,2,2,0,2,2,2,1,5,10,1,1,1,5,5.35933,26.9009,17.5,40
48,2,2,4,0,3,4,1,1,6,1,1,1,12,4,0,3,21.7012,-22.0506,17.5,45
49,1,5,11,3,2,3,4,3,0,1,4,2,4,2,0,2,-18.0638,4.71924,17.5,47
50,2,3,2,2,3,2,6,4,2,2,8,4,0,2,2,4,-1.06819,12.9682,17.5,48
51,0,2,2,4,1,1,1,1,1,2,2,2,3,2,8,7,30.0782,11.9908,17.5,39
52,16,6,3,1,5,3,3,3,2,3,0,4,1,4,3,0,-19.2566,-22.4306,17.5,57
53,2,3,3,3,2,8,3,2,2,6,3,1,1,3,4,3,-1.25868,-13.8016,17.5,49
54,2,0,2,1,3,3,1,3,2,0,7,3,2,1,2,9,31.1448,16.3626,17.5,41
55,0,5,4,5,6,8,3,6,1,1,1,3,3,1,1,2,-15.4678,1.696,17.5,50
56,2,3,2,0,4,1,0,2,11,2,5,2,4,4,3,2,4.74809,-28.4596,17.5,47
57,1,1,7,2,0,4,3,1,2,0,0,3,2,2,5,1,-34.5999,17.3031,17.5,34
58,5,7,0,1,13,6,2,2,7,1,1,1,1,2,0,3,-10.8846,-24.4007,17.5,52
59,2,3,4,3,0,2,7,1,2,3,7,6,0,4,3,8,13.5021,16.1144,17.5,55
60,1,1,0,3,2,3,0,3,15,3,1,6,4,1,3,5,10.7395,-27.8022,17.5,51
61,5,3,1,2,0,3,0,2,5,1,1,1,16,8,3,4,28.1269,-25.3189,17.5,55
62,1,3,0,2,4,4,0,3,3,1,2,3,2,2,7,4,33.351,7.87951,17.5,41
63,3,5,5,8,1,1,3,3,5,0,1,4,3,3,0,2,-13.1945,12.6446,17.5,47
64,5,1,2,5,1,4,0,5,2,1,0,10,1,1,1,10,14.6014,28.0832,17.5,49
65,3,1,5,1,2,3,1,2,6,1,2,4,7,3,5,3,12.4775,-30.8239,17.5,49
66,4,3,1,3,11,5,1,3,4,4,3,1,6,1,3,1,-9.53454,-29.4931,17.5,54
67,1,2,8,7,4,3,6,6,2,3,2,2,2,1,1,3,-19.3376,18.2137,17.5,53
68,2,6,1,2,1,2,0,2,2,0,1,3,3,4,15,4,31.6129,9.69818,17.5,48
69,1,2,4,3,3,1,4,4,1,0,4,2,1,4,4,18,30.9424,32.3935,17.5,56
70,4,9,4,1,5,3,6,1,1,5,3,0,0,2,0,1,-15.5133,-1.49013,17.5,45
71,2,5,3,3,2,2,3,4,11,1,0,4,4,3,3,1,7.97505,-31.2408,17.5,51
72,3,1,6,0,3,4,2,3,1,2,3,2,4,5,3,4,7.48475,-0.637239,17.5,46
73,2,2,2,2,1,2,0,5,2,2,7,2,1,4,10,3,21.2895,0.0679045,17.5,47
74,2,2,6,5,4,3,5,4,3,2,3,2,1,3,2,0,-11.5795,16.9168,17.5,47
75,4,2,2,11,4,4,1,3,1,0,3,1,2,2,2,0,-23.7257,34.6381,17.5,42
76,4,3,1,2,10,6,0,1,6,1,3,2,1,1,1,3,-13.9463,-21.2625,17.5,45
77,2,3,7,16,1,0,0,2,1,4,2,3,0,2,1,1,-32.9638,27.9615,17.5,45
78,2,1,3,0,4,13,4,4,2,3,1,5,3,2,3,2,-5.36177,-10.2012,17.5,52
79,4,7,8,8,1,2,1,4,1,2,4,2,3,0,1,3,-31.4653,16.0522,17.5,51
80,3,4,8,4,2,3,4,9,3,2,0,2,3,0,2,2,-17.5946,14.7667,17.5,51
81,1,2,2,6,3,1,1,9,0,3,3,2,0,4,0,2,-9.77986,28.6352,17.5,39
82,0,5,16,7,5,6,2,4,0,0,4,5,1,2,4,0,-28.2239,10.0855,17.5,61
83,4,12,2,0,1,4,0,0,4,2,3,4,1,3,1,3,-31.0971,-12.0448,17.5,44
