event_id,sipm0,sipm1,sipm2,sipm3,sipm4,sipm5,sipm6,sipm7,sipm8,sipm9,sipm10,sipm11,sipm12,sipm13,sipm14,sipm15,x(mm),y(mm),z(mm),LCE (%)
0,60,65,103,68,61,59,70,71,50,62,52,57,42,47,52,52,-25.8657,8.24258,0,48.55
1,48,47,67,83,51,53,64,99,50,52,58,74,42,46,49,41,-12.8232,32.8239,-0,46.2
2,43,38,49,53,50,45,58,60,50,63,78,76,50,87,91,85,25.6928,9.19036,-0,48.8
3,38,62,47,52,51,58,73,71,46,68,68,68,48,65,59,47,5.82732,2.73573,0,46.05
4,58,55,35,48,60,62,55,47,78,68,58,51,82,86,53,56,15.5168,-14.6856,-0,47.6
5,81,51,57,43,62,81,58,54,61,77,70,46,69,66,50,38,-0.975969,-10.1244,0,48.2
6,44,47,52,51,50,65,53,51,56,60,75,79,42,46,79,85,16.7058,21.7836,-0,46.75
7,33,46,52,47,52,56,44,50,78,72,50,47,103,74,50,52,30.6919,-32.2134,0,45.3
8,81,76,49,59,87,69,50,48,81,63,71,46,55,44,32,57,-11.7377,-22.6965,-0,48.4
9,46,50,71,82,47,53,66,85,47,54,67,75,37,49,57,46,-7.34493,26.6494,0,46.6
10,38,48,48,37,52,51,68,53,82,57,63,61,95,92,63,53,25.0464,-13.8648,-0,48.05
11,45,47,48,50,50,74,56,58,53,81,86,54,47,72,66,64,8.76946,0.149785,-0,47.55
12,53,55,61,59,44,49,74,77,60,58,69,100,57,41,56,63,-0.846804,32.8718,0,48.8
13,52,49,54,44,49,58,49,60,57,88,67,67,60,85,65,68,19.0167,-0.44122,-0,48.6
14,61,68,55,63,84,71,65,41,72,61,49,47,46,63,46,42,-3.66963,-30.8086,-0,46.7
15,45,59,55,44,53,40,61,47,54,56,74,82,57,54,80,86,18.9894,15.2994,0,47.35
16,118,92,49,54,73,60,58,41,58,61,45,41,45,54,44,44,-30.1685,-25.4381,0,46.85
17,61,81,59,47,60,92,66,53,54,59,74,51,46,64,48,41,-5.66533,-9.95713,0,47.8
18,59,52,46,54,72,67,55,42,84,67,64,55,76,62,61,48,5.04884,-31.165,0,48.2
19,40,55,51,43,47,41,40,64,55,62,70,74,39,57,100,119,29.5336,32.3054,0,47.85
20,41,59,56,48,49,52,67,66,65,69,83,59,48,64,63,64,7.92354,4.4026,-0,47.65
21,52,42,50,42,41,73,51,57,85,83,60,38,97,76,58,41,33.674,-21.3892,-0,47.3
22,57,50,66,50,52,55,61,91,51,47,76,92,40,55,67,63,3.17343,32.8549,0,48.65
23,77,89,71,63,76,64,59,53,49,45,57,40,43,40,50,46,-27.33,-7.44223,0,46.1
24,47,56,52,44,49,68,50,34,80,71,69,62,76,68,66,59,13.7429,-9.07664,-0,47.55
25,104,84,66,48,82,65,53,43,59,53,61,44,43,42,49,51,-24.7348,-28.6265,-0,47.35
26,46,54,49,25,51,77,46,56,79,77,58,45,66,78,57,46,7.83817,-13.3058,-0,45.5
27,53,50,52,50,63,65,60,41,58,70,63,50,88,82,68,56,34.406,-12.881,0,48.45
28,57,67,79,81,45,72,73,61,68,48,68,48,47,53,54,45,-15.3101,3.8121,0,48.3
29,98,63,57,56,99,80,54,41,65,59,52,67,52,39,48,47,-16.1367,-29.0259,-0,48.85
30,74,93,66,44,67,72,64,62,48,51,67,49,52,43,58,40,-26.8385,-12.6176,-0,47.5
31,35,57,53,43,44,48,68,58,54,80,86,80,57,47,63,76,11.6561,12.2448,-0,47.45
32,99,76,61,47,86,64,58,35,57,56,38,43,57,57,49,39,-27.4592,-28.1223,-0,46.1
33,65,40,49,73,40,46,64,62,37,49,58,89,44,54,70,63,1.51823,17.9516,0,45.15
34,45,57,47,44,58,72,59,62,58,73,88,69,55,49,61,68,5.13522,0.399165,0,48.25
35,44,48,74,109,51,52,72,77,42,43,60,67,42,48,42,54,-17.9213,27.8047,0,46.25
36,63,63,51,38,89,60,78,42,87,61,54,40,77,66,45,35,3.63612,-19.8961,-0,47.45
37,92,74,45,52,97,76,54,60,67,55,50,45,63,43,60,55,-6.23451,-31.4463,0,49.4
38,53,52,36,54,55,52,47,66,53,44,79,77,46,68,87,97,32.9868,24.2546,-0,48.3
39,53,45,66,84,60,69,63,89,38,61,68,61,37,45,59,58,-11.0121,28.1268,0,47.8
40,51,50,74,63,48,67,63,82,45,60,61,92,41,48,72,57,0.619073,29.6431,0,48.7
41,43,55,53,59,57,49,52,53,41,56,60,89,56,55,68,111,27.1114,24.524,-0,47.85
42,59,44,39,41,56,62,48,36,76,72,68,51,84,95,82,48,30.4944,-12.7192,0,48.05
43,62,41,57,41,51,52,40,57,47,64,69,65,65,64,92,85,25.4719,10.0584,0,47.6
44,48,65,47,46,63,55,54,52,58,91,59,67,72,70,61,53,13.8723,-10.3608,0,48.05
45,63,61,52,42,72,81,66,48,71,73,58,50,54,65,44,45,-4.8546,-10.1888,0,47.25
46,58,41,37,42,83,65,51,49,95,71,44,51,73,59,59,52,3.17055,-27.004,0,46.5
47,120,73,66,69,80,83,45,36,62,41,37,44,43,49,41,43,-20.2419,-27.031,-0,46.6
48,51,79,58,60,79,84,51,55,54,58,66,48,66,60,56,46,-3.6901,-8.87998,0,48.55
49,44,42,54,45,45,44,60,63,49,57,70,95,41,65,76,96,16.7549,32.5008,-0,47.3
50,67,43,36,32,64,52,42,47,81,73,61,49,91,76,58,59,16.5421,-34.4662,0,46.55
51,52,53,58,51,48,43,60,46,82,62,39,52,114,77,60,62,21.2938,-24.0782,-0,47.95
52,43,46,67,65,51,58,62,88,50,50,66,87,49,44,56,68,5.32109,23.7676,-0,47.5
53,36,61,55,49,53,42,53,71,50,56,78,87,44,50,62,91,7.07684,31.9047,0,46.9
54,36,49,54,46,51,49,65,57,64,61,89,59,47,70,76,79,16.3167,6.10576,-0,47.6
55,57,57,47,44,79,56,61,47,78,69,50,49,87,63,61,43,13.946,-20.3591,0,47.4
56,33,58,61,55,45,57,51,84,49,52,73,96,46,44,75,75,7.20206,31.3812,-0,47.7
57,90,79,54,56,91,65,56,49,58,63,55,49,52,46,46,34,-34.4769,-20.4274,-0,47.15
58,91,84,59,47,84,67,72,50,56,76,58,43,49,45,36,47,-16.0352,-25.4624,-0,48.2
59,65,89,75,41,62,65,73,41,47,55,51,43,43,57,58,44,-23.3825,-3.89355,-0,45.45
60,44,42,51,59,50,61,47,37,65,87,63,51,73,90,64,50,15.4137,-10.2754,-0,46.7
