event_id,sipm0,sipm1,sipm2,sipm3,sipm4,sipm5,sipm6,sipm7,sipm8,sipm9,sipm10,sipm11,sipm12,sipm13,sipm14,sipm15,x(mm),y(mm),z(mm),LCE (%)
0,35,74,298,75,44,41,61,65,49,37,45,38,38,28,39,38,-25.8657,8.24258,17.5,50.25
1,38,41,39,36,40,46,37,41,69,50,45,43,258,96,59,41,26.3172,-19.7289,17.5,48.95
2,140,60,43,37,217,50,46,38,66,52,35,35,51,39,38,52,-14.1649,-24.1403,17.5,49.95
3,63,115,209,60,41,46,53,63,44,34,54,48,49,46,47,36,-27.7494,2.37872,17.5,50.4
4,54,43,75,51,68,83,211,58,35,48,53,44,35,58,37,41,-8.0849,3.55886,17.5,49.7
5,48,43,55,47,46,49,43,108,59,41,58,173,33,36,37,63,2.79995,32.3542,17.5,46.95
6,50,43,43,71,45,54,56,181,37,38,40,130,35,38,45,50,-1.20815,33.3945,17.5,47.8
7,32,38,36,50,43,48,47,58,44,47,103,100,41,47,121,100,17.2229,15.2778,17.5,47.75
8,60,214,93,48,40,56,48,49,54,46,45,42,38,42,45,43,-32.9069,-5.88399,17.5,48.15
9,41,43,39,39,77,59,43,55,194,63,36,49,77,63,46,49,8.20599,-31.674,17.5,48.65
10,43,46,76,274,30,45,54,99,50,42,42,48,36,41,52,33,-20.9683,22.862,17.5,50.55
11,40,46,58,100,39,38,76,263,44,34,65,58,41,36,43,40,-9.71991,21.864,17.5,51.05
12,144,72,43,41,172,75,32,36,60,39,45,51,46,49,46,40,-15.27,-26.2929,17.5,49.55
13,37,36,50,42,44,50,62,54,50,47,179,73,54,55,106,87,14.3493,9.95712,17.5,51.3
14,46,39,47,57,50,30,44,127,42,38,69,150,32,33,47,60,0.577037,21.6149,17.5,45.55
15,42,50,43,38,55,62,43,45,49,216,94,51,49,68,51,34,6.32751,-3.52641,17.5,49.5
16,48,35,27,41,49,43,38,41,115,66,36,42,244,86,45,45,19.5024,-24.3382,17.5,50.05
17,38,38,44,53,42,72,62,37,74,275,64,45,44,42,54,34,6.3328,-7.12512,17.5,50.9
