event_id,sipm0,sipm1,sipm2,sipm3,sipm4,sipm5,sipm6,sipm7,sipm8,sipm9,sipm10,sipm11,sipm12,sipm13,sipm14,sipm15,x(mm),y(mm),z(mm),LCE (%)
0,0,0,935,3,2,4,1,2,1,2,2,1,5,2,1,1,-25.8657,8.24258,23,48.1
1,34,32,27,30,34,31,30,29,41,30,36,35,63,152,54,28,32.6761,-8.99166,23,34.3
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6331,26.3035,23,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.3471,12.3804,23,0
4,28,25,19,19,131,28,23,15,106,27,32,25,34,34,23,22,-0.126608,-28.5466,23,29.55
5,24,28,18,19,28,38,24,22,21,34,38,36,32,40,93,79,31.3003,16.4516,23,28.7
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19934,21.0825,23,0
7,3,3,7,3,5,6,100,4,1,4,6,4,4,3,2,1,-15.5932,10.0431,23,7.8
8,206,35,38,27,61,31,24,26,26,34,29,19,31,28,27,25,-20.9259,-32.289,23,33.35
9,2,0,2,0,3,1,1,0,2,2,1,2,499,6,0,5,26.8297,-18.0406,23,26.3
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.51727,19.4625,23,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.4321,-26.9408,23,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.9402,-27.4533,23,0
13,11,21,21,28,29,26,21,23,32,27,24,27,222,44,24,31,31.9619,-24.6048,23,30.55
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.788,13.987,23,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9943,-12.7935,23,0
16,8,23,21,21,19,22,27,24,16,30,114,110,15,15,33,44,11.5567,15.9498,23,27.1
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.95225,5.73734,23,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30712,-4.14225,23,0
19,40,36,26,38,41,38,31,27,110,40,38,35,95,39,37,25,14.089,-33.7551,23,34.8
20,28,38,31,29,35,32,26,24,48,54,28,31,162,55,23,26,24.3569,-32.7991,23,33.5
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7352,-22.3004,23,0
22,32,37,45,70,33,46,36,114,36,42,36,46,43,39,38,42,-12.1696,34.3819,23,36.75
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1928,11.5525,23,0
24,1,3,4,3,2,0,5,2,4,1,2,8,2,1,121,6,23.5248,15.2954,23,8.25
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8007,3.12407,23,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.77433,-26.2569,23,0
27,2,3,4,127,3,3,8,5,1,3,2,3,2,4,3,3,-31.4972,19.2892,23,8.8
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.9715,28.2246,23,0
29,1,2,2,3,3,2,3,3,1,0,2,5,5,267,3,1,29.6609,-14.7696,23,15.15
30,3,3,3,6,0,2,154,0,4,2,4,6,1,0,4,2,-15.0249,9.99373,23,9.7
31,941,1,3,1,7,2,2,2,1,3,1,2,3,1,4,0,-24.5662,-29.8643,23,48.7
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1906,5.63821,23,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5601,21.9212,23,0
34,6,132,7,3,2,4,3,3,1,2,3,1,0,1,2,3,-23.881,-0.978607,23,8.65
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34778,3.14723,23,0
36,34,26,38,41,33,32,38,31,38,35,45,41,42,38,47,169,26.9761,34.4011,23,36.4
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.3593,24.836,23,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2308,-20.3303,23,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.0348,26.5941,23,0
40,1,6,5,5,4,4,1,5,3,6,6,3,3,98,2,5,17.0665,-7.60126,23,7.85
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.4818,-26.706,23,0
42,6,1,4,2,578,4,0,2,1,2,1,1,1,0,1,3,-11.4213,-18.0652,23,30.35
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9743,14.1672,23,0
44,2,5,2,52,6,4,7,9,1,2,7,9,3,2,3,1,-17.12,31.6772,23,5.75
45,17,26,38,33,22,24,79,149,24,19,21,12,21,18,14,18,-10.9804,16.8263,23,26.75
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.2768,26.7473,23,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3382,28.335,23,0
48,5,1,4,1,2,2,8,131,1,3,2,4,4,1,2,3,-8.09047,17.1665,23,8.7
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.6598,18.3818,23,0
50,2,4,3,1,0,0,8,369,4,3,4,3,3,3,1,4,-4.4648,17.8887,23,20.6
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06702,-27.9365,23,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.2834,26.6938,23,0
53,3,2,1,1,1,3,4,3,6,2,1,111,0,7,2,2,13.5465,31.5364,23,7.45
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.4534,20.4389,23,0
55,2,1,1,3,2,6,4,5,2,4,8,92,5,2,3,4,13.6247,31.8185,23,7.2
56,1,4,5,4,1,1,1,2,1,3,0,196,2,4,1,2,1.35113,19.2904,23,11.4
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2464,-7.53789,23,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.47673,3.9984,23,0
59,2,7,1,2,3,1,7,168,3,2,0,2,0,2,2,5,-5.32283,17.3999,23,10.35
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40394,30.5241,23,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.79,-7.61049,23,0
62,0,1,1,0,1,262,3,1,2,7,0,2,1,2,4,5,-1.63316,-2.02981,23,14.6
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.8995,-28.4893,23,0
64,1,2,3,3,1,3,3,1,3,6,2,3,5,3,173,3,31.2876,11.3363,23,10.75
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5254,-8.9771,23,0
66,1,3,5,5,2,2,3,3,6,5,2,1,1,2,118,3,17.3159,2.61264,23,8.1
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.7839,-12.223,23,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.45902,27.2086,23,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8785,23.8999,23,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.077,6.7475,23,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9267,6.43008,23,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4404,6.92493,23,0
73,10,86,1,1,8,4,3,2,3,2,3,1,4,3,2,1,-28.5568,-15.5458,23,6.7
74,3,1,2,4,5,3,1,0,3,221,1,2,3,3,1,2,12.0873,-1.33068,23,12.75
75,1,4,2,4,0,1,2,6,1,1,2,6,5,2,5,184,31.2238,30.1454,23,11.3
76,32,36,33,35,41,50,41,39,24,47,29,54,44,37,40,167,29.2457,34.1663,23,37.45
77,4,2,4,1,6,5,0,2,9,162,3,3,3,1,3,0,6.29933,-15.0443,23,10.4
78,18,18,23,17,33,26,18,31,100,113,17,17,45,33,26,21,9.32457,-15.9559,23,27.8
79,1,0,1,3,922,3,1,3,2,2,1,3,0,3,2,1,-10.2332,-24.5404,23,47.4
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.9466,-3.52834,23,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3257,-27.5297,23,0
82,1,0,4,0,3,872,1,1,2,3,1,4,5,5,1,2,-8.17119,-11.5718,23,45.25
