event_id,sipm0,sipm1,sipm2,sipm3,sipm4,sipm5,sipm6,sipm7,sipm8,sipm9,sipm10,sipm11,sipm12,sipm13,sipm14,sipm15,x(mm),y(mm),z(mm),LCE (%)
0,4,5,2,1,2,2,5,2,4,1,5,1,3,0,2,0,-25.8657,8.24258,-7.5,39
1,4,4,4,4,0,1,3,2,3,4,2,0,6,2,3,4,-4.32426,-7.10595,-7.5,46
2,4,1,6,3,3,5,5,3,5,3,2,1,4,2,1,5,25.8211,-8.20447,-7.5,53
3,2,1,2,1,4,5,2,2,3,1,1,4,1,4,3,3,-11.0316,8.98809,-7.5,39
4,1,4,3,4,2,3,3,2,1,1,6,0,2,6,2,0,-17.9265,3.62117,-7.5,40
5,4,2,2,3,3,6,8,0,5,2,1,0,3,1,2,3,0.847059,-29.4753,-7.5,45
6,5,0,4,3,4,5,7,2,3,2,6,4,4,2,3,2,-23.0164,-27.6887,-7.5,56
7,3,2,5,0,6,6,1,2,5,1,2,4,2,1,2,3,-14.5548,-22.722,-7.5,45
8,2,2,3,6,2,2,4,2,4,5,3,1,4,3,2,3,27.9764,-22.2855,-7.5,48
9,2,2,1,5,1,3,2,2,3,3,0,4,4,2,4,5,7.51472,29.4068,-7.5,43
10,0,3,6,2,1,2,2,4,3,5,4,3,1,3,3,3,-1.35977,5.68352,-7.5,45
11,4,2,4,6,3,3,3,5,6,2,5,3,3,3,1,1,-29.5137,-3.63828,-7.5,54
12,1,3,5,0,1,5,1,3,1,0,0,1,4,1,4,4,12.1448,3.2361,-7.5,34
13,4,5,4,4,4,5,3,2,4,5,1,1,3,5,5,4,-21.5151,15.4547,-7.5,59
14,1,3,1,4,1,2,4,2,3,6,1,4,3,3,2,4,28.3413,30.123,-7.5,44
15,5,0,2,5,4,1,1,4,0,5,3,3,4,5,3,4,21.4919,20.7395,-7.5,49
16,4,2,1,1,5,1,3,1,2,7,1,0,2,4,0,5,0.775513,-28.5497,-7.5,39
17,1,1,4,3,3,5,5,1,4,3,2,3,4,2,5,3,5.96731,17.1041,-7.5,49
18,2,4,2,1,2,3,5,4,2,7,3,2,3,0,2,1,0.302779,-6.81548,-7.5,43
19,2,2,4,1,6,8,4,6,2,3,1,1,3,1,1,0,-14.9355,2.08752,-7.5,45
20,3,0,2,2,4,2,4,1,2,3,7,2,1,4,4,3,21.2807,23.1389,-7.5,44
21,3,1,4,2,1,3,2,5,3,3,2,3,0,9,3,4,26.8379,20.0627,-7.5,48
22,3,5,2,3,4,3,4,1,3,2,1,2,4,1,3,4,13.8419,-18.2136,-7.5,45
23,5,1,2,7,0,3,2,2,1,6,1,2,4,2,2,3,-34.47,-14.8047,-7.5,43
24,5,1,6,0,3,7,2,5,2,3,3,3,5,2,2,3,4.17512,-0.387492,-7.5,52
25,4,2,1,4,1,0,3,2,1,2,0,8,3,2,4,2,-27.6525,14.7502,-7.5,39
26,3,1,1,1,3,4,4,3,5,6,2,2,5,5,6,1,0.160925,-23.9408,-7.5,52
27,4,2,4,3,2,1,2,4,2,4,4,1,3,3,3,2,-12.6837,-5.93797,-7.5,44
28,6,0,2,4,1,3,5,4,3,1,7,5,4,3,3,0,-11.2235,8.26665,-7.5,51
29,3,6,4,1,2,4,1,4,4,4,0,2,3,1,5,2,-22.5056,-7.66001,-7.5,46
30,0,0,2,1,8,5,0,4,7,3,3,2,3,8,6,2,-3.06759,-33.4922,-7.5,54
31,4,1,5,2,3,1,3,4,2,2,1,8,3,4,2,3,8.81156,-2.90713,-7.5,48
32,1,3,1,1,1,2,1,1,2,2,4,3,2,4,7,6,29.4677,7.0596,-7.5,41
33,5,0,2,6,4,2,4,5,2,3,3,2,1,6,2,2,-15.7653,31.8105,-7.5,49
34,3,1,4,3,4,3,4,3,2,4,6,3,3,3,3,3,-10.2733,7.82969,-7.5,52
35,3,4,0,2,3,3,0,2,3,3,4,5,5,2,2,3,-14.523,-18.2556,-7.5,44
36,2,2,1,1,0,1,3,4,2,3,2,4,2,4,2,4,26.6039,30.8111,-7.5,37
37,1,4,5,2,1,0,2,3,6,2,3,3,2,3,2,2,12.1331,-1.49131,-7.5,41
38,0,2,2,2,2,3,2,2,0,5,3,1,6,4,2,3,29.6572,-28.0111,-7.5,39
39,0,4,2,4,0,2,2,3,2,5,1,2,3,0,3,5,-23.0516,-2.56795,-7.5,38
40,4,5,4,2,3,3,3,3,3,2,2,2,3,0,5,3,-27.3589,-9.964,-7.5,47
41,0,1,5,2,2,2,7,4,3,2,0,2,4,2,3,5,-17.3219,3.21749,-7.5,44
42,4,2,5,4,4,0,3,4,5,3,2,6,2,1,1,1,-29.1021,28.1205,-7.5,47
43,5,9,0,6,2,5,2,1,6,5,3,3,3,2,2,3,-17.7951,-6.45723,-7.5,57
44,3,2,5,0,3,3,2,6,6,5,1,4,2,4,3,2,-1.16631,-28.3152,-7.5,51
45,4,3,2,4,6,2,1,6,2,6,4,1,2,3,2,2,3.15477,-14.5325,-7.5,50
46,3,3,2,2,2,2,2,3,0,8,2,2,4,5,4,3,25.3185,-32.6647,-7.5,47
47,2,2,2,3,4,2,2,4,2,1,4,2,4,2,2,1,13.5143,-19.8565,-7.5,39
48,2,2,4,2,2,4,3,2,1,2,6,3,4,3,2,5,32.2506,-23.7306,-7.5,47
49,2,3,1,3,2,4,6,6,1,2,6,1,4,3,3,4,4.16885,-10.821,-7.5,51
50,3,3,3,1,4,1,4,0,4,4,1,3,1,4,2,5,4.49033,-1.16119,-7.5,43
51,0,3,2,1,5,2,3,4,2,4,2,3,2,4,5,4,7.54191,-23.526,-7.5,46
52,1,2,5,0,3,4,3,5,2,2,3,3,1,2,5,3,14.146,33.0509,-7.5,44
53,3,3,5,1,5,2,3,1,4,2,4,1,3,3,3,0,-16.3373,-31.372,-7.5,43
54,3,5,5,2,1,1,7,3,1,2,2,4,3,5,4,3,-6.5679,15.6439,-7.5,51
55,3,4,2,0,6,1,4,3,1,2,3,5,3,1,3,5,34.5836,31.0024,-7.5,46
56,3,2,8,3,2,2,3,0,6,4,2,2,3,1,3,6,-14.25,1.59641,-7.5,50
57,2,3,1,3,2,1,2,3,2,3,4,5,0,2,5,4,10.5895,24.31,-7.5,42
58,2,2,5,4,1,0,3,3,4,2,4,2,1,2,4,8,26.6962,23.6442,-7.5,47
59,2,0,1,4,5,2,4,2,3,2,4,4,1,3,2,1,29.7443,7.93658,-7.5,40
60,1,2,3,1,2,5,2,2,1,4,2,1,4,3,4,2,-18.1347,4.68267,-7.5,39
61,3,6,6,5,2,5,3,2,3,2,7,4,0,5,1,0,-31.0132,9.00757,-7.5,54
62,4,1,1,1,4,7,1,1,1,2,2,5,4,3,7,4,26.2954,21.1602,-7.5,48
63,1,1,3,7,2,5,7,1,2,4,4,2,1,4,0,2,10.6919,5.24275,-7.5,46
64,1,4,5,2,3,4,5,3,3,3,5,2,2,2,4,3,-5.09349,11.0303,-7.5,51
65,2,3,6,5,2,4,3,6,5,5,6,2,0,2,1,2,-8.35005,-1.02406,-7.5,54
66,5,6,4,3,5,1,3,6,4,4,3,1,2,4,4,1,28.6655,-0.0622637,-7.5,56
67,1,4,5,6,2,2,6,3,3,1,5,2,1,4,3,1,-11.1343,1.7013,-7.5,49
68,0,4,3,1,3,3,2,0,5,5,6,3,8,3,2,1,30.0978,-25.7613,-7.5,49
69,2,4,1,4,6,2,8,2,3,5,1,2,3,4,1,1,-14.1663,-1.87728,-7.5,49
70,3,3,3,3,3,4,2,4,2,5,1,3,4,2,0,3,-8.52391,-25.5024,-7.5,45
71,2,1,3,4,1,1,6,4,4,3,2,6,1,4,3,2,7.72164,34.6188,-7.5,47
72,4,3,5,2,7,2,2,1,2,1,1,2,3,3,4,2,-31.2694,-11.2387,-7.5,44
73,3,1,3,1,1,2,2,0,5,2,5,3,6,2,5,6,7.2197,-31.7349,-7.5,47
74,0,3,2,2,2,4,7,3,1,6,2,4,4,3,0,3,27.7601,18.9311,-7.5,46
75,0,3,1,7,2,3,5,2,0,3,4,4,1,3,0,2,-12.9548,0.0618731,-7.5,40
76,4,6,3,3,2,3,3,2,1,5,2,2,3,3,1,3,-23.4249,-10.9153,-7.5,46
77,5,0,3,2,3,4,2,4,2,1,1,4,1,7,1,1,-34.2375,-9.74272,-7.5,41
78,0,4,1,6,5,2,5,1,3,3,5,5,1,1,0,1,-34.1853,-3.69453,-7.5,43
79,4,3,3,2,0,3,2,2,3,3,2,5,4,6,3,7,25.4732,28.5335,-7.5,52
80,2,2,1,2,3,3,3,3,3,0,1,1,3,4,6,5,30.6049,23.5035,-7.5,42
81,0,6,7,1,3,3,3,4,2,3,4,2,3,4,6,5,2.88328,-11.7987,-7.5,56
82,0,1,3,1,7,2,4,10,0,3,4,2,5,0,5,3,-7.64648,32.1448,-7.5,50
83,4,1,2,7,2,4,3,0,3,4,5,1,2,4,2,4,-0.766237,-5.56789,-7.5,48
84,1,5,2,0,5,4,6,5,3,1,1,3,1,3,2,2,0.313598,16.8309,-7.5,44
85,2,2,3,5,2,3,1,4,0,2,1,3,3,1,4,2,-11.2583,32.8558,-7.5,38
86,3,1,4,3,5,4,3,4,3,2,4,2,2,2,3,1,-15.4192,10.5829,-7.5,46
87,4,4,3,2,5,6,3,1,7,6,4,2,1,2,1,2,1.69318,-11.055,-7.5,53
88,2,2,2,3,3,1,4,1,3,4,3,3,3,3,4,6,13.0157,10.3362,-7.5,47
89,6,1,2,2,4,5,6,1,2,5,0,4,1,2,4,2,0.0640471,9.27578,-7.5,47
90,4,1,1,0,5,8,1,3,4,3,4,3,2,4,4,6,3.18124,-5.08673,-7.5,53
91,1,3,1,1,1,8,2,4,4,3,2,1,1,3,2,1,10.4079,-11.6617,-7.5,38
92,1,4,4,3,4,0,4,2,5,2,1,1,3,5,3,4,34.6892,-33.6122,-7.5,46
93,2,5,2,2,1,3,4,3,4,7,2,4,2,2,3,4,-29.0025,11.0124,-7.5,50
94,5,4,3,3,3,2,5,5,2,4,3,3,3,2,0,2,-6.57757,31.1872,-7.5,49
95,4,3,5,2,5,1,1,4,2,0,2,5,1,4,4,1,-24.8907,-32.6834,-7.5,44
96,0,4,2,1,2,3,6,1,0,2,4,3,3,2,2,3,1.95054,-2.70337,-7.5,38
