event_id,sipm0,sipm1,sipm2,sipm3,sipm4,sipm5,sipm6,sipm7,sipm8,sipm9,sipm10,sipm11,sipm12,sipm13,sipm14,sipm15,x(mm),y(mm),z(mm),LCE (%)
0,14,90,96,22,13,18,24,19,23,22,25,14,14,16,13,16,-25.8657,0,24.7973,21.95
1,66,50,49,50,49,50,50,61,57,74,67,62,68,66,75,62,31.6651,-0,-13.0305,47.8
2,71,64,68,64,76,76,68,50,50,45,57,43,54,61,51,37,-20.2115,-0,-10.4511,46.75
3,68,53,57,68,49,60,64,68,57,62,62,61,46,50,52,48,-16.5234,0,-16.1677,46.25
4,48,39,49,41,55,55,65,51,59,80,81,71,59,73,70,57,12.174,0,1.17127,47.65
5,56,85,71,72,65,56,68,59,52,48,54,49,43,46,54,48,-32.9164,-0,-11.4808,46.3
6,53,44,48,49,68,59,53,53,60,53,59,57,58,79,64,55,24.2261,0,-14.0381,45.6
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4767,0,-24.9997,0
8,50,61,50,46,55,54,60,57,75,66,62,66,50,65,78,65,13.1844,0,-4.89167,48
9,55,61,63,66,51,72,74,58,41,43,72,58,65,44,54,62,-13.5932,-0,-18.478,46.95
10,44,191,174,47,40,101,86,52,43,37,47,31,31,30,25,28,-18.9062,-0,18.1055,50.35
11,30,29,35,32,38,35,29,39,33,65,66,43,45,176,163,41,19.7064,-0,21.2441,44.95
12,56,127,123,41,49,107,111,49,35,33,29,33,41,30,37,28,-16.5177,0,18.3778,46.45
13,29,35,39,33,32,62,50,43,37,129,147,49,42,37,45,45,2.87428,-0,21.5685,42.7
14,57,62,59,55,51,64,53,75,50,62,70,62,52,62,65,35,-9.86067,0,-23.5285,46.7
15,59,56,45,58,53,53,79,50,52,59,65,59,41,64,52,46,-2.30861,-0,-22.9417,44.55
16,63,86,84,72,59,66,81,66,46,58,57,54,35,39,41,45,-22.9979,-0,3.09635,47.6
17,49,144,130,62,67,81,78,54,44,43,40,44,35,36,46,42,-20.7461,0,14.5115,49.75
18,42,32,51,38,36,55,46,45,58,68,63,62,65,98,108,79,20.2688,-0,11.1686,47.3
19,33,93,92,39,51,163,191,44,48,42,40,26,33,36,32,30,-12.888,0,19.4331,49.65
20,54,51,42,43,60,66,64,49,53,86,82,58,60,58,53,60,3.67837,0,5.44716,46.95
21,39,35,22,25,34,42,28,19,37,73,69,37,26,49,58,40,14.982,0,22.6844,31.65
22,52,72,66,68,54,82,70,52,57,73,59,46,53,59,52,40,-12.0024,-0,-3.84092,47.75
23,28,44,40,39,43,25,42,29,34,41,30,48,58,83,71,46,34.7491,0,23.1319,35.05
24,45,35,48,57,49,70,79,56,61,77,68,60,64,65,79,58,15.1299,0,-4.14988,48.55
25,50,51,65,62,56,60,55,63,58,62,68,60,50,62,77,42,3.29839,-0,-6.13056,47.05
26,47,69,55,34,50,73,71,61,47,81,71,53,56,67,50,59,3.41143,-0,-0.456795,47.2
27,46,37,37,39,36,73,73,37,41,154,150,37,49,41,41,38,2.30801,-0,20.0547,46.45
28,37,52,36,41,67,59,43,55,50,81,61,74,69,85,84,67,23.8488,0,1.66594,48.05
29,48,53,56,51,54,59,62,44,63,54,68,62,59,89,78,63,22.9367,0,-2.52677,48.15
30,15,22,20,10,22,18,25,20,16,72,80,11,21,26,19,16,4.45375,-0,24.1267,20.65
31,63,39,54,49,47,50,49,54,65,64,64,51,62,87,76,64,26.9786,-0,-3.79343,46.9
32,23,55,48,42,46,48,59,50,44,59,39,41,61,61,66,41,21.8676,-0,-24.0247,39.15
33,48,66,52,49,57,73,66,52,50,58,74,58,58,69,51,46,-5.14363,-0,-0.568512,46.35
34,64,63,81,59,67,57,72,60,45,61,58,61,55,55,45,58,-26.5286,-0,-11.4188,48.05
35,42,81,79,63,63,93,83,62,51,56,65,53,50,45,61,48,-13.7807,-0,7.61685,49.75
36,55,67,49,57,53,66,57,59,61,71,59,44,49,76,58,65,-0.0748185,-0,-15.7047,47.3
37,66,80,75,73,53,67,74,51,44,62,53,48,43,48,39,46,-21.1009,-0,4.22164,46.1
