event_id,sipm0,sipm1,sipm2,sipm3,sipm4,sipm5,sipm6,sipm7,sipm8,sipm9,sipm10,sipm11,sipm12,sipm13,sipm14,sipm15,x(mm),y(mm),z(mm),LCE (%)
0,3719,3838,3671,3352,4416,4619,4007,3605,5914,6326,4730,3895,5708,5918,4629,3779,12.8001,-12.0073,3.5,48.084
1,6099,5199,3988,3487,7121,5809,4089,3637,5221,4701,3805,3519,4074,3876,3564,3199,-9.15023,-21.8225,3.5,47.592
2,3429,3797,4539,5053,3570,4003,5173,7038,3639,3894,4871,6419,3478,3689,4270,4547,-1.84285,33.5867,3.5,47.606
3,3415,3480,3500,3417,3692,3990,4051,3741,4082,4992,5293,4665,4558,6296,7206,5182,24.6993,3.03402,3.5,47.7067
4,7822,5699,4105,3507,7197,5274,4035,3597,4727,4273,3738,3424,3654,3631,3410,3282,-16.4018,-27.7325,3.5,47.5833
5,4041,3952,3557,3443,5474,4691,3934,3557,7461,5506,4118,3575,6197,5017,3982,3435,8.75941,-24.451,3.5,47.96
6,3620,3593,3398,3343,4276,4153,3804,3438,5837,5650,4250,3712,7299,6866,4657,3737,20.696,-15.6945,3.5,47.7553
7,4805,4496,3872,3482,6466,5579,4079,3606,6303,5370,4162,3473,4611,4335,3707,3418,-0.980085,-19.9462,3.5,47.8427
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.3545,-34.9091,3.5,0
9,4467,5555,5641,4586,4673,5846,5807,4409,3930,4426,4485,3839,3559,3619,3681,3492,-13.02,-0.315572,3.5,48.01
10,3448,3778,4699,5447,3507,4051,5556,7077,3523,3959,4839,5893,3361,3635,4013,4318,-5.44192,23.7327,3.5,47.4027
11,4979,6436,6241,4554,4473,5623,5400,4329,3659,4159,4216,3742,3417,3519,3546,3428,-19.1939,-1.39899,3.5,47.814
12,3563,4273,6279,9379,3466,3995,5259,6200,3412,3617,3907,4188,3145,3537,3606,3536,-26.1919,24.7944,3.5,47.5747
13,3757,4852,7453,7463,3714,4268,5358,5548,3431,3747,4001,4078,3309,3533,3420,3587,-27.7586,14.0273,3.5,47.6793
14,8552,6901,4376,3604,5776,5105,4158,3672,4141,4011,3751,3448,3450,3573,3362,3319,-29.2548,-19.0888,3.5,47.466
15,3719,3564,3519,3231,4110,4242,3773,3457,5796,5335,4272,3626,7677,7303,4486,3724,34.2672,-16.1464,3.5,47.8893
16,3230,3438,3543,3619,3353,3700,4064,4153,3547,3952,4956,6119,3622,4128,6010,9574,26.9192,28.7169,3.5,47.3387
17,4039,5461,7602,6313,3955,4504,5344,5058,3520,3860,3957,4047,3321,3499,3643,3614,-29.034,9.04382,3.5,47.8247
18,3465,3580,3601,3396,3900,4250,3901,3681,5025,5884,4859,4051,5481,6939,5517,4027,19.7548,-7.43604,3.5,47.7047
19,3741,3708,3560,3259,4447,4308,3785,3461,6841,5387,4032,3548,7603,5879,4215,3617,16.85,-22.0578,3.5,47.594
20,3382,3557,3529,3331,3723,4015,4031,3753,4329,5222,5631,4547,4534,6189,6749,5049,21.0387,2.57816,3.5,47.714
